VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,02/04/2020 12:57:32 AM,02/04/2020 01:12:30 AM,N,1,112,148,1,5.94,19,0.5,0.5,5,0,,0.3,27.8,1,1,2.5
2,02/04/2020 12:58:23 AM,02/04/2020 01:04:05 AM,N,1,260,83,1,1.01,6,0.5,0.5,1.82,0,,0.3,9.12,1,1,0
2,02/04/2020 12:58:31 AM,02/04/2020 01:10:00 AM,N,1,83,56,1,2.22,10,0.5,0.5,0,0,,0.3,11.3,2,1,0
2,02/04/2020 12:58:36 AM,02/04/2020 01:11:51 AM,N,1,181,188,1,3.14,12.5,0.5,0.5,0,0,,0.3,13.8,2,1,0
2,02/04/2020 12:59:07 AM,02/04/2020 01:18:38 AM,N,1,66,66,1,4.88,17.5,0.5,0.5,3.76,0,,0.3,22.56,1,1,0
2,02/04/2020 12:59:26 AM,02/04/2020 01:10:35 AM,N,1,7,7,1,2.29,10,0.5,0.5,0,0,,0.3,11.3,2,1,0
2,02/04/2020 01:00:22 AM,02/04/2020 01:04:29 AM,N,1,116,116,1,0.57,5,0.5,0.5,0,0,,0.3,6.3,2,1,0
2,02/04/2020 01:00:40 AM,02/04/2020 01:00:43 AM,N,5,74,264,1,0.23,25,0,0,0,0,,0.3,25.3,1,2,0
2,02/04/2020 01:02:00 AM,02/04/2020 01:09:38 AM,N,1,83,82,6,1.22,7,0.5,0.5,0,0,,0.3,8.3,2,1,0
2,02/04/2020 01:02:09 AM,02/04/2020 01:05:57 AM,N,1,260,260,2,0.62,4.5,0.5,0.5,0,0,,0.3,5.8,2,1,0
2,02/04/2020 01:02:15 AM,02/04/2020 01:05:28 AM,N,1,134,134,1,0.76,4.5,0.5,0.5,0,0,,0.3,5.8,1,1,0
2,02/04/2020 01:02:40 AM,02/04/2020 01:16:22 AM,N,1,42,161,1,4.58,15,0.5,0.5,3.81,0,,0.3,22.86,1,1,2.75
2,02/04/2020 01:04:13 AM,02/04/2020 01:07:28 AM,N,1,166,152,1,0.71,4.5,0.5,0.5,0,0,,0.3,5.8,2,1,0
1,02/04/2020 01:04:15 AM,02/04/2020 01:07:55 AM,N,1,166,151,1,0.9,5,0.5,0.5,1.25,0,,0.3,7.55,1,1,0
2,02/04/2020 01:04:53 AM,02/04/2020 01:17:25 AM,N,5,82,56,1,1.6,10,0,0,0,0,,0.3,10.3,2,2,0
2,02/04/2020 01:06:34 AM,02/04/2020 01:20:08 AM,N,1,25,133,1,3.42,13,0.5,0.5,0,0,,0.3,14.3,2,1,0
2,02/04/2020 01:07:27 AM,02/04/2020 01:18:33 AM,N,1,166,41,1,1.62,9,0.5,0.5,0,0,,0.3,10.3,2,1,0
2,02/04/2020 01:09:45 AM,02/04/2020 01:15:44 AM,N,1,82,129,1,0.97,6,0.5,0.5,1.46,0,,0.3,8.76,1,1,0
